May,July,August,weightlbs,ageyears,female,fixed,shortcoat,curlycoat,longcoat,doublecoat,darkcoat,straightears,training,envtemp,coatlength,singleeyearea,nosewidth,noselength,nosearea,earbasewidth,pawwidth,earlength,leglength,frontheight,snoutlength,Tear,Tnose,Teye,Tmouth
1,0,0,22,9,0,0,1,0,0,0,1,0,5,7.8,0,2.261,2.983,2.632,8.804,4.8505,4.209,7.478,14.86,39.655,6.444,0.611111111,-1.45,-0.35,0.3
1,0,0,38,1.5,1,0,0,0,0,1,1,1,0,12.6,30,1.556,3.316,2.295,7.59,2.7655,6.455,8.316,20.7315,22.625,4.716,-0.194444444,-0.25,0.5,5.85
1,0,0,66,3,1,0,0,0,0,1,1,1,0,17.4,5,1.839,4.078,3.249,11.963,7.517,4.149,9.475,21.549,43.192,9.451,0.555555556,1.5,0.45,0.5
1,0,0,80,6,0,1,0,0,0,1,1,1,5,15.6,3,2.993,5.38,4.638,18.958,4.6705,6.04,11.757,25.555,39.327,3.106,-0.944444444,0.7,1,0.3
1,0,0,76,9.5,0,0,0,0,0,1,0,1,1,16.9,7.5,1.178,3.603,2.686,8.38,3.3405,5.315,10.544,9.3745,37.046,4.198,0.472222222,-1.2,-1.5,-0.15
1,0,0,6,1.5,0,0,0,0,1,0,1,1,1,8.1,7,2.6815,5.018,2.757,15.866,7.4645,5.12,10.517,21.8405,51.632,7.953,0.444444444,0.15,0.35,4.75
1,0,0,82,3,1,0,0,0,0,1,1,1,0,17.4,6,3.468,3.7,2.726,10.817,7.993,5.33,8.041,9.232,21.577,5.895,0.388888889,-0.65,0.05,-0.35
1,0,0,27,4.916666667,0,0,0,0,0,1,1,0,2,10.9,6,1.9285,3.046,2.478,6.276,3.9695,5.655,15.707,15.4125,44.969,3.83,0.333333333,-1.45,0,-1.15
1,0,0,1.5,33,1,0,0,0,0,1,1,1,1,8.9,18,2.1645,3.54,2.528,8.439,3.111,6.01,14.485,16.035,30.258,5.234,0.083333333,-0.5,-1.45,-2.7
1,0,0,46,10,1,1,0,0,0,1,0,1,5,12.6,29,1.572,2.526,2.109,4.435,2.923,3.239,12.509,5.776,22.299,3.83,0.416666667,0.45,0.2,-0.4
1,0,0,10,2,1,0,0,0,1,0,0,1,2,15.3,25,4.5065,6.057,5.428,36.258,8.7985,8.08,18.166,44.861,51.395,7.433,0.416666667,0.3,2.55,-4.6
1,0,0,3,15.4,0,0,1,0,0,0,0,1,3,9.2,0,0.867,1.151,0.729,1.203,3.704,2.094,3.085,9.57,16.287,1.496,0.527777778,0.65,0.4,-1.05
1,0,0,44,12,1,1,0,0,0,1,1,1,5,12.6,33,1.5835,3.086,2.227,7.413,8.7435,6.024,23.429,15.1295,45.058,7.292,0.416666667,0.35,3.9,-0.25
1,0,0,10,1.75,1,0,0,0,1,0,1,1,2,15.3,1,0.685,1.444,0.962,1.33,2.8235,3.615,11.249,6.781,16.773,2.798,0.194444444,-1.55,-0.1,-0.55
1,0,0,40,2,0,1,0,0,0,1,1,0,0,16.8,6,1.9065,3.175,2.731,7.46,6.111,3.566,8.806,26.4525,31.138,5.317,1.138888889,0.2,2.45,0.2
1,0,0,66,10,1,1,0,0,0,1,1,1,2,11.8,6,1.447,4.018,2.351,7.85,5.026,5.139,11.744,24.741,44.592,9.448,-0.166666667,1.15,1.9,1.55
1,0,0,138,7,1,1,1,0,0,0,1,1,5,13.1,1,4.5395,5.634,5.121,28.241,8.596,7.558,19.092,44.683,68.706,8.198,-0.472222222,4.45,1.55,1.35
1,0,0,103,5,0,0,0,0,0,1,1,0,2,9.5,6,4.5665,6.542,3.699,26.067,6.2275,5.026,11.662,28.089,52.271,10.49,-0.333333333,-1.1,0.25,-0.85
1,0,0,72,6.5,0,1,0,0,0,1,0,1,0.58,14.1,4,3.494,6.424,4.672,23.803,7.64,6.424,17.528,30.173,48.99,5.315,0.972222222,1.65,-0.8,1
1,0,0,12.2,1.833333333,0,0,0,1,0,0,1,1,0.8333333,13.8,1,1.5235,2.441,1.564,3.2,3.354,1.952,8.037,4.8035,12.872,4.632,0.806,-2.2,0.1,-1.25
0,1,0,12.6984127,3,0,0,0,0,1,0,1,1,1,26.8,1,1.2585,3.574,1.8,6.211,5.48,8.062,16.207,13.193,43.927,4.017,-0.139,-0.8,-1.3,-0.8
0,1,0,15.41950113,2,0,0,0,0,1,0,0,1,1,24.9,3.5,1.102,3.813,1.829,9.63,4.75,5.43,18.752,11.1095,34.432,6.219,-0.167,0.6,2,0.5
0,1,0,7.709750567,8,0,1,1,0,0,0,0,1,4,26.8,0,1.724,3.116,1.822,5.797,2.569,2.359,2.189,19.035,30.952,3.87,0.194,0.45,1.4,0.85
0,1,0,8.616780045,13,0,1,0,0,0,1,1,1,4,28,2,4.3775,4.606,2.113,9.887,3.386,5.277,8.244,17.8545,30.811,3.268,0,-0.8,0.25,-0.35
0,1,0,17.23356009,4,0,0,0,0,1,0,1,1,2,24.5,2.5,0.539,3.353,1.895,6.441,5.2325,5.168,14.511,12.2115,37.673,6.417,-0.722,1.35,1.1,0.65
0,1,0,9.977324263,6,1,0,0,0,0,1,1,0,4,24.1,6,0.957,1.821,1.142,2.42,3.4285,2.857,4.285,14.0545,33.02,5.188,-0.139,1.3,0.05,1.55
0,1,0,11.79138322,7,0,1,0,0,1,0,1,1,1,26.6,2,1.449,3.283,1.826,6.059,6.301,5.55,13.431,11.58,29.695,6.095,-0.417,-0.5,-0.3,-0.35
0,1,0,11.33786848,3,0,0,0,0,0,1,1,0,0,24.9,12,2.0595,3.324,1.822,6.428,5.7555,4.565,5.597,12.76,37.87,6.047,0,-0.2,-1,-0.1
0,1,0,14.96598639,8,0,0,0,0,1,0,0,1,1.5,27.2,3.5,1.319,3.321,1.625,5.65,4.618,4.573,16.045,9.696,28.485,6.085,-1.194,-1.2,-1.05,0.1
0,1,0,25.85034014,6,1,1,0,0,0,1,0,1,0,23.3,2,1.609,3.836,2.461,8.622,8.98,5.129,10.663,26.541,43.455,9.733,-0.75,-0.45,0.2,-1.2
0,1,0,22.67573696,6,0,1,0,1,0,0,1,1,1,26.6,1,2.054,5.35,2.423,10.844,6.259,6.207,25.999,29.485,51.379,11.622,-0.222,-1.15,-1.25,-1.25
0,1,0,8.616780045,4,1,0,0,0,0,1,1,0,1,24.7,5,1.342,2.792,1.639,6.257,3.714,4.168,6.159,15.2865,29.794,4.579,0.333,1.65,1.2,1.2
0,1,0,33.10657596,5,0,1,0,0,0,1,0,1,0.75,24.9,5,2.9345,4.686,2.41,15.521,7.448,6.605,14.925,24.746,48.778,7.368,-1.056,-0.65,-0.55,-0.95
0,1,0,27.66439909,4,1,1,0,0,0,1,0,1,1.948787878,23.5,3,3.05,5.074,3.447,16.753,8.694,6.615,15.797,33.099,46.393,7.792,-0.25,-0.35,0.85,0.85
0,1,0,2.721088435,2,0,1,0,0,1,0,0,0,1,26.6,7,0.9645,1.658,0.93,1.586,5.595,2.721,5.5,7.905,17.551,2.329,-0.222,0.85,0.7,1.7
0,0,1,20.40816327,11,0,1,1,0,0,0,1,0,9,16.66666667,5,0.9775,3.671,2.722,9.549,4.4465,3.714,2.917,21.1085,47.427,7.292,0.027777778,0.35,2.05,0.6
0,0,1,30.38548753,2.5,1,0,1,0,0,0,1,0,0.5,20.55555556,0,1.6985,3.781,2.287,10.197,7.243,3.429,8.051,22.3845,44.671,7.58,-1.166666667,4.45,-0.1,-0.35
0,0,1,30.6122449,4,0,0,0,0,0,1,1,0,3,17.22222222,3,0.8065,3.363,2.334,6.939,4.5745,4.49,6.808,33.8925,48.337,9.195,0.027777778,1.3,0.5,2.05
0,0,1,29.93197279,1.25,0,1,0,0,0,1,1,1,0.25,16.66666667,7,1.6505,3.493,3.244,9.72,5.912,4.549,7.728,24.6515,38.386,3.673,-0.305555556,-0.2,0.4,-0.15
0,0,1,6.893424036,8,0,1,0,0,1,0,1,1,1.948787878,20.55555556,24,0.729,2.789,1.818,4.343,3.066,2.783,13.75,13.7765,25.705,3.433,0.138888889,-0.4,0.4,-0.35
0,0,1,5.89569161,5,1,0,0,0,0,1,1,0,3,20.55555556,4,1.6665,2.837,2.241,5.058,5.984,2.956,6.04,10.421,21.851,3.63,-0.361111111,-0.55,-0.85,2.8
0,0,1,7.709750567,4,1,0,1,0,0,0,0,1,2,20.55555556,0,1.9015,2.891,1.873,5.558,4.777,3.122,5.681,14.8455,24.649,3.162,0.027777778,2,0.65,0.95
0,0,1,11.33786848,3,1,0,0,0,0,1,1,0,0,22.22222222,13,2.51,2.708,2.13,4.499,5.075,2.692,5.686,12.76,29.625,6.047,-0.444444444,-151,-1.9,-0.65
0,0,1,12.6984127,3,1,1,0,0,0,1,0,1,1,16.66666667,3,1.5405,3.004,2.43,6.422,4.9,2.824,6.487,15.012,36.259,6.45,-0.75,-1.15,0,-1.63
0,0,1,17.23356009,2.5,0,1,0,0,0,1,0,1,1.5,18.88888889,8,1.14,3.074,2.224,7.575,5.575,2.903,9.207,15.717,41.201,7.187,-0.888888889,-1.35,-1.8,-6.5
0,0,1,32.19954649,5.5,0,1,0,0,0,1,0,1,0.833333333,20.55555556,4.5,4.123,4.67,2.839,17.409,8.4775,4.452,18.336,24.2815,76.365,7.368,-0.555555556,0.9,1.8,0.15